Species Name,In JSON List,Total Photos (Label),Has Taxonomic Keyword,Published to SmugMug,Mismatched/Needs Tagging
Campbell Albatross,No,29,0,0,29
Common Moorhen,No,29,0,0,29
Toucan,No,29,0,0,29
American Dipper,Yes,30,2,2,28
White-tipped Dove,Yes,30,2,2,28
Common Potoo,Yes,29,1,1,28
Flame-colored Tanager,Yes,29,1,1,28
Mountain Velvetbreast,No,29,1,1,28
Deer,No,28,0,0,28
Groove-Billed Ani,No,28,0,0,28
Tropical Screech-Owl,Yes,28,1,1,27
Wrenthrush,Yes,28,1,1,27
Yellow-billed Pintail,No,28,9,3,27
Forester's Tern,No,27,0,0,27
Goose,No,27,0,0,27
Black-headed Grosbeak,Yes,97,71,2,26
Gray-cheeked Thrush,Yes,28,2,2,26
Green-crowned Brilliant,No,28,2,2,26
Great Green Macaw,No,27,1,1,26
Redwing,No,27,1,1,26
Green Violet-ear,No,26,0,1,26
Royal Flycatcher,No,26,0,0,26
Western Scrub-Jay,No,26,0,0,26
Wildlife,No,26,0,0,26
Groove-billed Ani,Yes,28,3,3,25
Cuban Vireo,Yes,26,1,1,25
Oak Titmouse,Yes,26,1,1,25
Semipalmated Sandpiper,Yes,26,1,1,25
Yellow-bridled Finch,No,26,2,2,25
Northern Beardless-Tyrannulet,Yes,25,1,1,25
Scaup,No,25,0,0,25
Northern Parula,Yes,27,3,3,24
Dull-mantled Antbird,Yes,25,1,1,24
Eastern Meadowlark,Yes,25,1,1,24
Northern Flicker,Yes,25,1,1,24
Variable Hawk,No,25,224,3,24
White-tailed Nightjar,Yes,25,1,1,24
Darwin Finch,No,24,0,2,24
Marine Iguana,No,24,0,3,24
Mew Gull,No,24,0,1,24
Anhinga,Yes,122,99,4,23
Collared Redstart,No,25,2,2,23
Bearded Bellbird,Yes,24,1,1,23
Hooded Crow,Yes,24,1,1,23
Whimbrel,Yes,24,1,3,23
Heerman's Gull,No,23,0,0,23
Javalina,No,23,0,0,23
Graylag Goose,Yes,28,6,6,22
Song Sparrow,Yes,24,2,2,22
Mountain Chickadee,Yes,23,1,1,22
Muscovy Duck,No,23,1,1,22
Slaty-tailed Trogon,Yes,23,1,1,22
Bill Walker,No,22,0,0,22
Chicken,No,22,0,0,22
Correndera Pipit,No,22,0,1,22
Porcupine,No,22,0,0,22
White Board,No,22,0,0,22
Glaucous Gull,Yes,25,6,5,21
Magellanic Penguin,No,22,1,1,21
Red-bellied Macaw,No,22,1,1,21
Red-headed Barbet,Yes,22,1,1,21
Swallow-tailed Kite,Yes,22,1,1,21
White-whiskered Puffbird,No,22,1,1,21
Leafcutter Ants,No,21,0,1,21
Florida Scrub-Jay,Yes,22,2,1,20
Ruby-topaz Hummingbird,Yes,22,2,2,20
Chestnut-breasted Coronet,Yes,21,1,1,20
Painted Bunting,Yes,21,1,1,20
Slender-billed Finch,No,21,1,1,20
Streaked Xenops,No,21,1,1,20
Barn Swallow,Yes,20,1,1,20
First Dance,No,20,0,0,20
Leaf-cutter Ant,No,20,0,0,20
Swan,No,20,0,0,20
Yellow-headed Parrot,No,20,0,0,20
Prothonotary Warbler,Yes,24,5,5,19
Hooded Warbler,Yes,22,3,3,19
Mangrove Cuckoo,Yes,21,2,2,19
Elegant Trogon,Yes,20,1,1,19
Arlie,No,19,0,0,19
Cake Cutting,No,19,0,0,19
Gull,No,19,0,0,19
Slaty Flowerpiercer,Yes,21,3,3,18
Bay-headed Tanager,Yes,19,1,1,18
Curve-billed Thrasher,Yes,19,1,1,18
Russet-naped Wood-Rail,Yes,19,1,1,18
Stout-billed Cinclodes,Yes,19,1,1,18
Elliot's Storm-petrel,No,18,0,1,18
Herring Gull,No,18,0,0,18
Howler Monkey,No,18,0,2,18
Iguana,No,18,0,2,18
Yellow-thighed Finch,No,18,0,1,18
Turquoise-browed Motmot,No,73,56,2,17
Red Kite,Yes,19,2,2,17
Volcano Junco,Yes,18,1,1,17
Yellow Oriole,No,18,1,1,17
Yellow-throated Euphonia,No,18,1,1,17
Sea Lion,No,17,0,0,17
Wilson's Plover,Yes,19,3,3,16
Glistening-green Tanager,Yes,17,1,1,16
Magnolia Warbler,Yes,17,1,1,16
Prong-billed Barbet,No,17,1,1,16
Scaled Quail,Yes,17,1,1,16
Fabian's Lizard,No,16,0,0,16
Greenfinch,No,16,0,1,16
Pelican,No,16,0,0,16
Whale,No,16,0,0,16
Golden Tanager,Yes,17,2,2,15
White-lined Tanager,Yes,17,2,2,15
Masked Yellowthroat,No,16,1,1,15
Yellow-crowned Euphonia,No,16,1,1,15
Cake,No,15,0,0,15
Chestnut-capped Brush-Finch,No,15,0,1,15
Double-striped Thick-Knee,No,15,0,2,15
Dowitcher,No,15,0,0,15
Larus and Ardea,No,15,0,0,15
Rufous/Allen's Hummingbird,No,15,0,0,15
Turtle,No,15,0,1,15
White-collared Seedeater,No,15,0,0,15
Great Curassow,No,16,2,2,14
Ashy-headed Goose,No,15,1,1,14
Flame-faced Tanager,Yes,15,1,1,14
Pearl Kite,No,15,1,1,14
Red-bellied Woodpecker,Yes,15,1,1,14
White-headed Marsh Tyrant,Yes,15,1,1,14
Crested Oropoendola,No,14,0,1,14
Jasper,No,14,0,0,14
Merganser,No,14,0,0,14
Montaine Woodcreeper,No,14,0,1,14
Rehearsal,No,14,0,0,14
Common Nighthawk,Yes,17,4,4,13
Green Thorntail,Yes,17,4,4,13
Prairie Warbler,Yes,15,2,2,13
Elliot's Storm-Petrel,Yes,14,2,2,13
Eurasian Collared-Dove,Yes,14,1,1,13
Magellanic Snipe,No,14,1,1,13
Stripe-headed Sparrow,Yes,14,1,1,13
Surf Scoter,Yes,14,1,1,13
Common Miner,Yes,13,118,1,13
Guanaco,No,13,0,1,13
Passerini's Tanager,No,13,0,2,13
